"stop_sequence","trip_id","stop_lat","stop_lon","stop_id","stop_name"
3,"464099442942",42.062479,-87.760648,"17866","Old Orchard Rd & Woods"
3,"464099442945",41.981024,-87.839159,"8600","Bryn Mawr & Chester"
3,"464099442953",41.996915,-87.816802,"9850","Devon & Oriole"
3,"464099443083",41.972906,-87.765157,"4747","Milwaukee & Carmen/NW Highway"
3,"464099443085",41.967716,-87.760691,"17175","Milwaukee & Lawrence"
3,"464099443176",42.010908,-87.829240,"9919","Northwest Hwy & Prospect"
3,"464099443183",41.869165,-87.774146,"9619","Austin & Harvard/Arthington"
3,"464099443369",41.967347,-87.649052,"3775","Marine Drive & Leland"
3,"464099443401",41.994306,-87.760474,"11429","Caldwell & Navajo"
3,"464099443478",41.978012,-87.655129,"1041","Sheridan & Berwyn"
3,"464099443658",41.982750,-87.768420,"11516","Central & Bryn Mawr"
3,"464099444173",41.952020,-87.834385,"5594","Irving Park & Plainfield"
3,"464099444199",41.954202,-87.806348,"17943","7100 W Forest Preserve Avenue"
3,"464099444415",41.952058,-87.645114,"1061","Lake Shore & Grace"
3,"464099444533",41.887163,-87.784396,"11725","South Blvd & Ridgeland"
3,"464099444569",41.888828,-87.804945,"15700","Harlem & Lake"
3,"464099444947",41.934496,-87.639260,"1149","Sheridan & Surf"
3,"464099445552",41.932895,-87.642607,"14897","Diversey & Cambridge"
3,"464099471871",42.008133,-87.661598,"1210","Sheridan & Morse"
3,"464099472506",41.998168,-87.656880,"1031","Sheridan & Kenmore"
3,"464099473149",42.055210,-87.751216,"3576","Golf Road & Lavergne"
3,"464099473274",41.960431,-87.649935,"4921","Clarendon & Junior Terrace"
3,"464099473408",42.064356,-87.717844,"14233","Central Street & Central Park"
3,"464099473425",42.062597,-87.746344,"14234","Old Orchard Rd & Skokie Blvd"
3,"464099473550",41.970461,-87.689449,"1486","Ainslie & Western"
3,"464099473569",41.978012,-87.655129,"1041","Sheridan & Berwyn"
3,"464099473570",42.015981,-87.690277,"1693","Western & Jarvis"
3,"464099473616",42.047113,-87.686610,"12687","Davis & Oak"
3,"464099473650",41.972546,-87.650819,"4853","Marine Drive & Margate"
3,"464099473783",42.019312,-87.669323,"14672","Howard & Bosworth"
3,"464099474108",41.997297,-87.707033,"1722","Devon & Albany"
3,"464099475062",41.982607,-87.669860,"15132","Ashland & Gregory"
3,"464099520507",41.956892,-87.747509,"15189","Cicero & Berteau"
3,"464099520705",41.755328,-87.738891,"10367","Ford City Shopping Center"
3,"464099521895",41.901744,-87.631311,"1898","Clark & Maple"
3,"464099522376",41.894724,-87.770295,"512","Chicago & Menard"
3,"464099522798",41.923512,-87.799018,"670","Grand & Newland"
3,"464099523046",41.915000,-87.655400,"7888","Clybourn & Wisconsin"
3,"464099523121",41.916789,-87.752379,"4027","Armitage & Leclaire/Grand"
3,"464099523189",41.897683,-87.620054,"5001","Pearson & Dewitt"
3,"464099523225",41.923807,-87.646603,"1400","Lincoln & Belden/Orchard"
3,"464099523232",41.913231,-87.755838,"3826","Laramie & Bloomingdale"
3,"464099523273",41.985979,-87.728596,"8975","Pulaski & Ardmore"
3,"464099523275",41.923512,-87.799018,"670","Grand & Newland"
3,"464099523448",41.880183,-87.763218,"393","Madison & Pine"
3,"464099523881",41.911187,-87.634527,"926","North Ave & Wells"
3,"464099545307",41.816980,-87.600688,"7993","Berkeley & 43rd Street"
3,"464099546009",41.881381,-87.630972,"15903","Clark & Madison & Monroe"
3,"464099546193",41.800757,-87.703542,"9154","51st Street & Kedzie"
3,"464099546546",41.722402,-87.604360,"2462","Cottage Grove & 95th Street"
3,"464099546691",41.878081,-87.632868,"69","Jackson & Financial Place"
3,"464099546888",41.947137,-87.649572,"14901","Halsted & Addison"
3,"464099546944",41.896645,-87.620311,"596","Fairbanks & Chicago"
3,"464099547164",41.683982,-87.715260,"9956","115th Street & Hamlin"
3,"464099548025",41.751998,-87.550114,"2603","79th Street & Coles"
3,"464099548317",41.734445,-87.738539,"9364","87th Street & Kilpatrick"
3,"464099548577",41.750875,-87.631848,"2645","79th Street & Princeton"
3,"464099548690",41.891949,-87.615391,"760","Grand & Peshtigo"
3,"464099551073",41.878135,-87.624193,"76","Michigan & Jackson"
3,"464099551114",41.876690,-87.624160,"75","Michigan & Van Buren"
3,"464099551909",41.874627,-87.639505,"14210","Canal & Harrison"
3,"464099552015",41.822471,-87.709229,"7784","Pershing & Homan"
3,"464099552231",41.888056,-87.624451,"6583","Michigan (Lower) & E. Wacker"
3,"464099552515",41.888056,-87.624451,"6583","Michigan (Lower) & E. Wacker"
3,"464099552571",41.874627,-87.639505,"14210","Canal & Harrison"
3,"464099552574",41.936425,-87.639501,"1074","Sheridan & Wellington"
3,"464099553670",41.876690,-87.624160,"75","Michigan & Van Buren"
3,"464099553802",41.850219,-87.806012,"6970","7250 W Cermak"
3,"464099553979",41.884601,-87.617087,"6357","Randolph & Field Blvd"
3,"464099554181",41.946312,-87.698132,"17787","California & Addison"
3,"464099554455",41.873264,-87.621002,"4883","Balbo & Columbus"
3,"464099554586",41.831283,-87.614975,"2527","Lake Meadows Shopping Center"
3,"464099554691",41.891949,-87.615391,"760","Grand & Peshtigo"
3,"464099555004",41.997069,-87.711812,"1355","McCormick & Devon"
3,"464099714454",41.769102,-87.624661,"10179","69th Street & State"
3,"464099714831",41.693555,-87.525749,"12254","Avenue B & 111th Street"
3,"464099715242",41.768400,-87.644590,"14496","Halsted & 69th Street"
3,"464099715512",41.720054,-87.620639,"7529","Michigan & 96th Street"
3,"464099715623",41.894283,-87.624364,"1100","Michigan & Erie"
3,"464099715630",41.867287,-87.627111,"316","Roosevelt & State"
3,"464099715631",41.708063,-87.563424,"5264","103rd Street & Bensley"
3,"464099716424",41.687194,-87.613110,"15107","King Drive & 114th Street"
3,"464099716740",41.721738,-87.631197,"3455","95th Street & Princeton"
3,"464099716744",41.878051,-87.635401,"68","Jackson & Franklin"
3,"464099716770",41.659188,-87.617245,"7589","130th Street & Indiana"
3,"464099716950",41.708024,-87.565884,"5262","103rd Street & Oglesby"
3,"464099716970",41.888360,-87.625055,"1421","Wacker (Upper) & Michigan"
